CD Category	Marker
Labeling and mislabeling	I am a
Labeling and mislabeling	he is a
Labeling and mislabeling	she is a
Labeling and mislabeling	they are a
Labeling and mislabeling	it is a
Labeling and mislabeling	that is a
Labeling and mislabeling	sucks at
Labeling and mislabeling	suck at
Labeling and mislabeling	I never
Labeling and mislabeling	he never
Labeling and mislabeling	she never
Labeling and mislabeling	you never
Labeling and mislabeling	we never
Labeling and mislabeling	they never
Labeling and mislabeling	I am an
Labeling and mislabeling	he is an
Labeling and mislabeling	she is an
Labeling and mislabeling	they are an
Labeling and mislabeling	it is an
Labeling and mislabeling	that is an
Labeling and mislabeling	a burden
Labeling and mislabeling	a complete
Labeling and mislabeling	a completely
Labeling and mislabeling	a huge
Labeling and mislabeling	a loser
Labeling and mislabeling	a major
Labeling and mislabeling	a total
Labeling and mislabeling	a totally
Labeling and mislabeling	a weak
Labeling and mislabeling	an absolute
Labeling and mislabeling	an utter
Labeling and mislabeling	a bad
Labeling and mislabeling	a broken
Labeling and mislabeling	a damaged
Labeling and mislabeling	a helpless
Labeling and mislabeling	a hopeless
Labeling and mislabeling	an incompetent
Labeling and mislabeling	a toxic
Labeling and mislabeling	an ugly
Labeling and mislabeling	an undesirable
Labeling and mislabeling	an unlovable
Labeling and mislabeling	a worthless
Labeling and mislabeling	a horrible
Labeling and mislabeling	a terrible
Catastrophizing	will fail
Catastrophizing	will go wrong
Catastrophizing	will end
Catastrophizing	will be impossible
Catastrophizing	will not happen
Catastrophizing	will be terrible
Catastrophizing	will be horrible
Catastrophizing	will be a catastrophe
Catastrophizing	will be a disaster
Catastrophizing	will never end
Catastrophizing	will not end
Dichotomous Reasoning	only
Dichotomous Reasoning	every
Dichotomous Reasoning	everyone
Dichotomous Reasoning	everybody
Dichotomous Reasoning	everything
Dichotomous Reasoning	everywhere
Dichotomous Reasoning	always
Dichotomous Reasoning	perfect
Dichotomous Reasoning	the best
Dichotomous Reasoning	all
Dichotomous Reasoning	not a single
Dichotomous Reasoning	no one
Dichotomous Reasoning	nobody
Dichotomous Reasoning	nothing
Dichotomous Reasoning	nowhere
Dichotomous Reasoning	never
Dichotomous Reasoning	worthless
Dichotomous Reasoning	the worst
Dichotomous Reasoning	neither
Dichotomous Reasoning	nor
Dichotomous Reasoning	either or
Dichotomous Reasoning	black or white
Dichotomous Reasoning	ever
Emotional Reasoning	but I feel
Emotional Reasoning	since I feel
Emotional Reasoning	because I feel
Emotional Reasoning	but it feels
Emotional Reasoning	since it feels
Emotional Reasoning	because it feels
Emotional Reasoning	still feels
Disqualifying the Positive	great but
Disqualifying the Positive	good but
Disqualifying the Positive	OK but
Disqualifying the Positive	not that great
Disqualifying the Positive	not that good
Disqualifying the Positive	it was not
Disqualifying the Positive	not all that
Disqualifying the Positive	fine but
Disqualifying the Positive	acceptable but
Disqualifying the Positive	great yet
Disqualifying the Positive	good yet
Disqualifying the Positive	OK yet
Disqualifying the Positive	fine yet
Disqualifying the Positive	acceptable yet
Magnification and Minimization	worst
Magnification and Minimization	best
Magnification and Minimization	not important
Magnification and Minimization	not count
Magnification and Minimization	not matter
Magnification and Minimization	no matter
Magnification and Minimization	the only thing
Magnification and Minimization	the one thing
Mental Filtering	I see only
Mental Filtering	all I see
Mental Filtering	all I can see
Mental Filtering	can only think
Mental Filtering	nothing good
Mental Filtering	nothing right
Mental Filtering	completely bad
Mental Filtering	completely wrong
Mental Filtering	only the bad
Mental Filtering	only the worst
Mental Filtering	if I just
Mental Filtering	if I only
Mental Filtering	if it just
Mental Filtering	if it only
Mindreading	everyone believes
Mindreading	everyone knows
Mindreading	everyone thinks
Mindreading	everyone will believe
Mindreading	everyone will know
Mindreading	everyone will think
Mindreading	nobody believes
Mindreading	nobody knows
Mindreading	nobody thinks
Mindreading	nobody will believe
Mindreading	nobody will know
Mindreading	nobody will think
Mindreading	he believes
Mindreading	he knows
Mindreading	he thinks
Mindreading	he does not believe
Mindreading	he does not know
Mindreading	he does not think
Mindreading	he will believe
Mindreading	he will know
Mindreading	he will think
Mindreading	he will not believe
Mindreading	he will not know
Mindreading	he will not think
Mindreading	she believes
Mindreading	she knows
Mindreading	she thinks
Mindreading	she does not believe
Mindreading	she does not know
Mindreading	she does not think
Mindreading	she will believe
Mindreading	she will know
Mindreading	she will think
Mindreading	she will not believe
Mindreading	she will not know
Mindreading	she will not think
Mindreading	they  believe
Mindreading	they  know
Mindreading	they  think
Mindreading	they do not believe
Mindreading	they do not know
Mindreading	they do not think
Mindreading	they will believe
Mindreading	they will know
Mindreading	they will think
Mindreading	they will not believe
Mindreading	they will not know
Mindreading	they will not think
Mindreading	we believe
Mindreading	we know
Mindreading	we think
Mindreading	we do not believe
Mindreading	we do not know
Mindreading	we do not think
Mindreading	we will believe
Mindreading	we will know
Mindreading	we will think
Mindreading	we will not believe
Mindreading	we will not know
Mindreading	we will not think
Mindreading	you believe
Mindreading	you know
Mindreading	you think
Mindreading	you do not believe
Mindreading	you do not know
Mindreading	you do not think
Mindreading	you will believe
Mindreading	you will know
Mindreading	you will think
Mindreading	you will not believe
Mindreading	you will not know
Mindreading	you will not think
Fortune-telling	I will not
Fortune-telling	we will not 
Fortune-telling	you will not
Fortune-telling	they will not
Fortune-telling	it will not
Fortune-telling	that will not
Fortune-telling	he will not
Fortune-telling	she will not
Overgeneralizing	all of the time
Overgeneralizing	all of them
Overgeneralizing	all the time
Overgeneralizing	always happens
Overgeneralizing	always like
Overgeneralizing	happens every time
Overgeneralizing	completely
Overgeneralizing	no one ever
Overgeneralizing	nobody ever
Overgeneralizing	every single one of them
Overgeneralizing	every single one of you
Overgeneralizing	I always
Overgeneralizing	you always
Overgeneralizing	he always
Overgeneralizing	she always
Overgeneralizing	they always
Overgeneralizing	I am always
Overgeneralizing	you are always
Overgeneralizing	he is always
Overgeneralizing	she is always
Overgeneralizing	they are always
Personalizing	all me
Personalizing	all my
Personalizing	because I
Personalizing	because my
Personalizing	because of my
Personalizing	because of me
Personalizing	I am responsible
Personalizing	blame me
Personalizing	I caused
Personalizing	I feel responsible
Personalizing	all my doing
Personalizing	all my fault
Personalizing	my bad
Personalizing	my responsibility
Should statements	should
Should statements	ought
Should statements	must
Should statements	have to
Should statements	has to
